model,features,la_accuracy,la_f1,la_roc_auc,la_eer,df_accuracy,df_f1,df_roc_auc,df_eer,auc_change,eer_change
SVM,MFCC,0.7343234555076715,0.8292832530533456,0.865461466162193,0.2136802035431957,0.6679313459801265,0.7045965927354548,0.7190185801285897,0.33794037940379407,-0.14644288603360334,0.12426017586059837
Random Forest,MFCC,0.8859721773797324,0.9375763677023216,0.8931435297800406,0.1753098618627039,0.5474254742547425,0.6875,0.7723990472063709,0.3050587172538392,-0.12074448257366976,0.12974885539113531
SVM,LFCC,0.564580204107416,0.681153759174359,0.8076242841603926,0.266765210440366,0.6186991869918699,0.6147668157342339,0.6526223123116507,0.3807588075880759,-0.15500197184874187,0.1139935971477099
Random Forest,LFCC,0.8627258306778781,0.9191798143755632,0.918044244815672,0.1548601282220484,0.602710027100271,0.7055042185616713,0.6965115153711008,0.3673893405600723,-0.22153272944457125,0.21252921233802388
SVM,MFCC+Spectral,0.7680980389404383,0.8537198717835196,0.8947910354175062,0.1828006242219493,0.6775971093044264,0.7102849257244906,0.7305210743164342,0.3252032520325203,-0.16426996110107195,0.14240262781057103
Random Forest,MFCC+Spectral,0.9058916012746184,0.9488751620529244,0.9187715087626188,0.1562696132193596,0.5563685636856368,0.6917717943890039,0.7536523021357886,0.32077687443541103,-0.16511920662683022,0.16450726121605144
SVM,Combined,0.5781124977188821,0.6932764532984977,0.8614658514569615,0.2181097505340563,0.6447154471544716,0.6152039917816261,0.7038021166119519,0.33956639566395663,-0.15766373484500962,0.12145664512990034
Random Forest,Combined,0.8915030110757051,0.9374721905362878,0.9386578268212948,0.1283743080349261,0.6145438121047877,0.7184427581656219,0.7415644061890785,0.34498644986449867,-0.19709342063221635,0.21661214182957256
