model,features,accuracy,precision,recall,f1,roc_auc,eer,eer_threshold
SVM,MFCC,0.8160145115314849,0.9548153034300791,0.8347750865051903,0.8907692307692308,0.8620054159771325,0.23315029336542803,0.3555243059770634
Random Forest,MFCC,0.9235553252137859,0.9216051023119851,1.0,0.9592034296777763,0.9249938052549138,0.15214883907527202,0.9
SVM,LFCC,0.9424721430422389,0.9610795454545454,0.9754901960784313,0.9682312535775616,0.9522495774298888,0.12824081039065244,1.048695022398514
Random Forest,LFCC,0.9344389738274165,0.9329383248047401,0.9988465974625144,0.96476813814232,0.9720226137694434,0.09763176370292362,0.885
SVM,MFCC+Spectral,0.8813164032132677,0.9653679653679653,0.9002306805074971,0.9316621903909281,0.9046613981834648,0.17962363973722478,0.4290734629284685
Random Forest,MFCC+Spectral,0.9243327286861881,0.9225651942522618,0.9997116493656286,0.9595903681151398,0.9165055295474591,0.15585978636979092,0.9
SVM,Combined,0.9759004923555326,0.9781807877585719,0.9953863898500577,0.9867085893954552,0.9918996333300885,0.04350960332982297,1.3727599923674108
Random Forest,Combined,0.9365120497538222,0.9342495284289949,0.9997116493656286,0.9658726842178577,0.9730307347852636,0.08372197984052959,0.895
