model,features,accuracy,precision,recall,f1,roc_auc,eer,eer_threshold
SVM,MFCC,0.6679313459801265,0.6345346649298017,0.7920505871725384,0.7045965927354548,0.7190185801285897,0.33794037940379407,0.7082678447672246
Random Forest,MFCC,0.5474254742547425,0.5250071448985424,0.9956639566395664,0.6875,0.7723990472063709,0.3050587172538392,0.92
SVM,LFCC,0.6186991869918699,0.6211729988933973,0.6084914182475158,0.6147668157342339,0.6526223123116507,0.3807588075880759,-0.12914976301383718
Random Forest,LFCC,0.602710027100271,0.5604851579955314,0.9517615176151761,0.7055042185616713,0.6965115153711008,0.3673893405600723,0.89
SVM,MFCC+Spectral,0.6775971093044264,0.6448997641509434,0.7904245709123758,0.7102849257244906,0.7305210743164342,0.3252032520325203,0.7147024321352706
Random Forest,MFCC+Spectral,0.5563685636856368,0.53000577034045,0.9956639566395664,0.6917717943890039,0.7536523021357886,0.32077687443541103,0.93
SVM,Combined,0.6447154471544716,0.6709346991037132,0.5680216802168022,0.6152039917816261,0.7038021166119519,0.33956639566395663,-1.411116456495085
Random Forest,Combined,0.6145438121047877,0.5659043659043659,0.9835591689250226,0.7184427581656219,0.7415644061890785,0.34498644986449867,0.88
